text,label
New study finds link between education and economic performance.,0
Secret study reveals vaccines cure cancer overnight.,1
Experts comment on recent developments in energy policy.,0
Scientists stunned as space exploration disproves the mainstream theory.,1
Experts comment on recent developments in energy policy.,0
New study finds link between education and economic performance.,0
New study finds link between education and economic performance.,0
Shocking discovery: AI will change everything!,1
Acme Corp releases quarterly results showing steady growth.,0
Local community organizes charity run to support students.,0
Miracle product WealthMax doubles your income in 30 days.,1
Experts comment on recent developments in energy policy.,0
You won't believe what climate change does to your health.,1
Politician John Doe exposed in huge scandal about economy.,1
Acme Corp releases quarterly results showing steady growth.,0
Government admits energy policy is a hoax — leaked documents!,1
New study finds link between education and economic performance.,0
Scientists stunned as space exploration disproves the mainstream theory.,1
Government admits energy policy is a hoax — leaked documents!,1
Experts comment on recent developments in energy policy.,0
Government admits energy policy is a hoax — leaked documents!,1
Acme Corp releases quarterly results showing steady growth.,0
Miracle product WealthMax doubles your income in 30 days.,1
Miracle product WealthMax doubles your income in 30 days.,1
Local community organizes charity run to support students.,0
Senator Brown shares personal experience about healthcare reform.,0
Senator Brown shares personal experience about healthcare reform.,0
Senator Brown shares personal experience about healthcare reform.,0
You won't believe what climate change does to your health.,1
Acme Corp releases quarterly results showing steady growth.,0
You won't believe what climate change does to your health.,1
Miracle product WealthMax doubles your income in 30 days.,1
Shocking discovery: AI will change everything!,1
Research paper published on climate change in reputable journal.,0
Experts comment on recent developments in energy policy.,0
Local community organizes charity run to support students.,0
Miracle product WealthMax doubles your income in 30 days.,1
Shocking discovery: AI will change everything!,1
New study finds link between education and economic performance.,0
New study finds link between education and economic performance.,0
Scientists stunned as space exploration disproves the mainstream theory.,1
Experts comment on recent developments in energy policy.,0
Acme Corp releases quarterly results showing steady growth.,0
Shocking discovery: AI will change everything!,1
Acme Corp releases quarterly results showing steady growth.,0
Miracle product WealthMax doubles your income in 30 days.,1
Secret study reveals vaccines cure cancer overnight.,1
Politician John Doe exposed in huge scandal about economy.,1
Politician John Doe exposed in huge scandal about economy.,1
You won't believe what climate change does to your health.,1
Acme Corp releases quarterly results showing steady growth.,0
Scientists stunned as space exploration disproves the mainstream theory.,1
Research paper published on climate change in reputable journal.,0
Research paper published on climate change in reputable journal.,0
Local community organizes charity run to support students.,0
Politician John Doe exposed in huge scandal about economy.,1
Local community organizes charity run to support students.,0
Research paper published on climate change in reputable journal.,0
Politician John Doe exposed in huge scandal about economy.,1
Research paper published on climate change in reputable journal.,0
City council approves new plan for public transport.,0
Local community organizes charity run to support students.,0
Local community organizes charity run to support students.,0
Scientists stunned as space exploration disproves the mainstream theory.,1
City council approves new plan for public transport.,0
Shocking discovery: AI will change everything!,1
Research paper published on climate change in reputable journal.,0
City council approves new plan for public transport.,0
Local community organizes charity run to support students.,0
Scientists stunned as space exploration disproves the mainstream theory.,1
You won't believe what climate change does to your health.,1
Senator Brown shares personal experience about healthcare reform.,0
Senator Brown shares personal experience about healthcare reform.,0
Shocking discovery: AI will change everything!,1
Miracle product WealthMax doubles your income in 30 days.,1
Scientists stunned as space exploration disproves the mainstream theory.,1
Research paper published on climate change in reputable journal.,0
New study finds link between education and economic performance.,0
Government admits energy policy is a hoax — leaked documents!,1
Government admits energy policy is a hoax — leaked documents!,1
City council approves new plan for public transport.,0
New study finds link between education and economic performance.,0
Politician John Doe exposed in huge scandal about economy.,1
Shocking discovery: AI will change everything!,1
Scientists stunned as space exploration disproves the mainstream theory.,1
City council approves new plan for public transport.,0
Scientists stunned as space exploration disproves the mainstream theory.,1
Government admits energy policy is a hoax — leaked documents!,1
Politician John Doe exposed in huge scandal about economy.,1
Secret study reveals vaccines cure cancer overnight.,1
Experts comment on recent developments in energy policy.,0
Government admits energy policy is a hoax — leaked documents!,1
Experts comment on recent developments in energy policy.,0
Miracle product WealthMax doubles your income in 30 days.,1
You won't believe what climate change does to your health.,1
Local community organizes charity run to support students.,0
Politician John Doe exposed in huge scandal about economy.,1
Research paper published on climate change in reputable journal.,0
Politician John Doe exposed in huge scandal about economy.,1
Shocking discovery: AI will change everything!,1
Secret study reveals vaccines cure cancer overnight.,1
Scientists stunned as space exploration disproves the mainstream theory.,1
You won't believe what climate change does to your health.,1
Politician John Doe exposed in huge scandal about economy.,1
Miracle product WealthMax doubles your income in 30 days.,1
Local community organizes charity run to support students.,0
Secret study reveals vaccines cure cancer overnight.,1
City council approves new plan for public transport.,0
New study finds link between education and economic performance.,0
Local community organizes charity run to support students.,0
Politician John Doe exposed in huge scandal about economy.,1
Research paper published on climate change in reputable journal.,0
Acme Corp releases quarterly results showing steady growth.,0
Acme Corp releases quarterly results showing steady growth.,0
Acme Corp releases quarterly results showing steady growth.,0
Secret study reveals vaccines cure cancer overnight.,1
You won't believe what climate change does to your health.,1
Politician John Doe exposed in huge scandal about economy.,1
Secret study reveals vaccines cure cancer overnight.,1
Shocking discovery: AI will change everything!,1
You won't believe what climate change does to your health.,1
Experts comment on recent developments in energy policy.,0
Acme Corp releases quarterly results showing steady growth.,0
You won't believe what climate change does to your health.,1
Politician John Doe exposed in huge scandal about economy.,1
Miracle product WealthMax doubles your income in 30 days.,1
Scientists stunned as space exploration disproves the mainstream theory.,1
Secret study reveals vaccines cure cancer overnight.,1
Scientists stunned as space exploration disproves the mainstream theory.,1
City council approves new plan for public transport.,0
Secret study reveals vaccines cure cancer overnight.,1
Research paper published on climate change in reputable journal.,0
Secret study reveals vaccines cure cancer overnight.,1
Politician John Doe exposed in huge scandal about economy.,1
New study finds link between education and economic performance.,0
Research paper published on climate change in reputable journal.,0
Miracle product WealthMax doubles your income in 30 days.,1
New study finds link between education and economic performance.,0
Scientists stunned as space exploration disproves the mainstream theory.,1
New study finds link between education and economic performance.,0
Miracle product WealthMax doubles your income in 30 days.,1
Miracle product WealthMax doubles your income in 30 days.,1
Scientists stunned as space exploration disproves the mainstream theory.,1
Research paper published on climate change in reputable journal.,0
Government admits energy policy is a hoax — leaked documents!,1
Scientists stunned as space exploration disproves the mainstream theory.,1
Government admits energy policy is a hoax — leaked documents!,1
Scientists stunned as space exploration disproves the mainstream theory.,1
Experts comment on recent developments in energy policy.,0
Acme Corp releases quarterly results showing steady growth.,0
Acme Corp releases quarterly results showing steady growth.,0
You won't believe what climate change does to your health.,1
Senator Brown shares personal experience about healthcare reform.,0
Politician John Doe exposed in huge scandal about economy.,1
Experts comment on recent developments in energy policy.,0
City council approves new plan for public transport.,0
Senator Brown shares personal experience about healthcare reform.,0
City council approves new plan for public transport.,0
Secret study reveals vaccines cure cancer overnight.,1
Senator Brown shares personal experience about healthcare reform.,0
Research paper published on climate change in reputable journal.,0
Local community organizes charity run to support students.,0
Research paper published on climate change in reputable journal.,0
Acme Corp releases quarterly results showing steady growth.,0
Local community organizes charity run to support students.,0
Research paper published on climate change in reputable journal.,0
Experts comment on recent developments in energy policy.,0
New study finds link between education and economic performance.,0
Experts comment on recent developments in energy policy.,0
Shocking discovery: AI will change everything!,1
Miracle product WealthMax doubles your income in 30 days.,1
City council approves new plan for public transport.,0
City council approves new plan for public transport.,0
Secret study reveals vaccines cure cancer overnight.,1
Scientists stunned as space exploration disproves the mainstream theory.,1
Research paper published on climate change in reputable journal.,0
New study finds link between education and economic performance.,0
Experts comment on recent developments in energy policy.,0
Politician John Doe exposed in huge scandal about economy.,1
Local community organizes charity run to support students.,0
Government admits energy policy is a hoax — leaked documents!,1
Secret study reveals vaccines cure cancer overnight.,1
Scientists stunned as space exploration disproves the mainstream theory.,1
Politician John Doe exposed in huge scandal about economy.,1
Shocking discovery: AI will change everything!,1
Government admits energy policy is a hoax — leaked documents!,1
Shocking discovery: AI will change everything!,1
Scientists stunned as space exploration disproves the mainstream theory.,1
Local community organizes charity run to support students.,0
Research paper published on climate change in reputable journal.,0
Scientists stunned as space exploration disproves the mainstream theory.,1
Government admits energy policy is a hoax — leaked documents!,1
You won't believe what climate change does to your health.,1
New study finds link between education and economic performance.,0
Experts comment on recent developments in energy policy.,0
Politician John Doe exposed in huge scandal about economy.,1
Acme Corp releases quarterly results showing steady growth.,0
Experts comment on recent developments in energy policy.,0
Government admits energy policy is a hoax — leaked documents!,1
Acme Corp releases quarterly results showing steady growth.,0